pathway,gene
N00003,ENSG00000157404
N00003,ENSG00000177885
N00003,ENSG00000115904
N00003,ENSG00000100485
N00003,ENSG00000174775
N00003,ENSG00000133703
N00003,ENSG00000213281
N00003,ENSG00000078061
N00003,ENSG00000157764
N00003,ENSG00000132155
N00003,ENSG00000169032
N00003,ENSG00000126934
N00003,ENSG00000100030
N00003,ENSG00000102882
N00004,ENSG00000122025
N00004,ENSG00000177885
N00004,ENSG00000115904
N00004,ENSG00000100485
N00004,ENSG00000174775
N00004,ENSG00000133703
N00004,ENSG00000213281
N00004,ENSG00000078061
N00004,ENSG00000157764
N00004,ENSG00000132155
N00004,ENSG00000169032
N00004,ENSG00000126934
N00004,ENSG00000100030
N00004,ENSG00000102882
N00012,ENSG00000133703
N00012,ENSG00000213281
N00012,ENSG00000078061
N00012,ENSG00000157764
N00012,ENSG00000132155
N00012,ENSG00000169032
N00012,ENSG00000126934
N00012,ENSG00000100030
N00012,ENSG00000102882
N00012,ENSG00000110092
N00031,ENSG00000122025
N00031,ENSG00000177885
N00031,ENSG00000115904
N00031,ENSG00000100485
N00031,ENSG00000174775
N00031,ENSG00000133703
N00031,ENSG00000213281
N00031,ENSG00000121879
N00031,ENSG00000051382
N00031,ENSG00000171608
N00031,ENSG00000142208
N00031,ENSG00000105221
N00031,ENSG00000117020
N00031,ENSG00000002330
N00032,ENSG00000133703
N00032,ENSG00000213281
N00032,ENSG00000121879
N00032,ENSG00000051382
N00032,ENSG00000171608
N00032,ENSG00000142208
N00032,ENSG00000105221
N00032,ENSG00000117020
N00032,ENSG00000002330
N00046,ENSG00000157404
N00046,ENSG00000121879
N00046,ENSG00000051382
N00046,ENSG00000171608
N00046,ENSG00000142208
N00046,ENSG00000105221
N00046,ENSG00000117020
N00046,ENSG00000002330
N00054,ENSG00000122025
N00054,ENSG00000126561
N00054,ENSG00000173757
N00054,ENSG00000137193
N00054,ENSG00000102096
N00108,ENSG00000159216
N00108,ENSG00000173801
N00109,ENSG00000140464
N00109,ENSG00000173801
N00109,ENSG00000133101
N00110,ENSG00000109906
N00110,ENSG00000173801
N00110,ENSG00000133101
N00110,ENSG00000136997
N00111,ENSG00000159216
N00111,ENSG00000245848
N00111,ENSG00000132326
N00112,ENSG00000159216
N00112,ENSG00000066336
N00112,ENSG00000170458
N00112,ENSG00000169896
N00112,ENSG00000150337
N00113,ENSG00000140464
N00113,ENSG00000092067
N00113,ENSG00000140379
N00114,ENSG00000109906
N00114,ENSG00000139318
N00116,ENSG00000159216
N00116,ENSG00000182578
N00116,ENSG00000005381
N00116,ENSG00000164400
N00116,ENSG00000164399
N00006,ENSG00000146648
N00006,ENSG00000177885
N00006,ENSG00000115904
N00006,ENSG00000100485
N00006,ENSG00000174775
N00006,ENSG00000133703
N00006,ENSG00000213281
N00006,ENSG00000078061
N00006,ENSG00000157764
N00006,ENSG00000132155
N00006,ENSG00000169032
N00006,ENSG00000126934
N00006,ENSG00000100030
N00006,ENSG00000102882
N00011,ENSG00000068078
N00011,ENSG00000177885
N00011,ENSG00000115904
N00011,ENSG00000100485
N00011,ENSG00000174775
N00011,ENSG00000133703
N00011,ENSG00000213281
N00011,ENSG00000078061
N00011,ENSG00000157764
N00011,ENSG00000132155
N00011,ENSG00000169032
N00011,ENSG00000126934
N00011,ENSG00000100030
N00011,ENSG00000102882
N00011,ENSG00000100784
N00011,ENSG00000136997
N00022,ENSG00000138798
N00022,ENSG00000141736
N00022,ENSG00000146648
N00022,ENSG00000177885
N00022,ENSG00000115904
N00022,ENSG00000100485
N00022,ENSG00000174775
N00022,ENSG00000133703
N00022,ENSG00000213281
N00022,ENSG00000078061
N00022,ENSG00000157764
N00022,ENSG00000132155
N00022,ENSG00000169032
N00022,ENSG00000126934
N00022,ENSG00000100030
N00022,ENSG00000102882
N00041,ENSG00000146648
N00041,ENSG00000177885
N00041,ENSG00000115904
N00041,ENSG00000100485
N00041,ENSG00000174775
N00041,ENSG00000133703
N00041,ENSG00000213281
N00041,ENSG00000078061
N00041,ENSG00000157764
N00041,ENSG00000132155
N00041,ENSG00000169032
N00041,ENSG00000126934
N00041,ENSG00000100030
N00041,ENSG00000102882
N00067,ENSG00000147889
N00067,ENSG00000135679
N00067,ENSG00000141510
N00067,ENSG00000124762
N00067,ENSG00000110092
N00067,ENSG00000118971
N00067,ENSG00000112576
N00067,ENSG00000135446
N00067,ENSG00000105810
N00067,ENSG00000139687
N00067,ENSG00000101412
N00067,ENSG00000007968
N00067,ENSG00000112242
N00071,ENSG00000147889
N00071,ENSG00000110092
N00071,ENSG00000118971
N00071,ENSG00000112576
N00071,ENSG00000135446
N00071,ENSG00000105810
N00071,ENSG00000139687
