	Tumour	Normal	Total
LAML	151	0.0	151.0
ACC	79	0.0	79.0
CHOL	36	9.0	45.0
BLCA	411	19.0	430.0
BRCA	1104	113.0	1217.0
CESC	306	3.0	309.0
COAD	471	41.0	512.0
UCEC	548	35.0	583.0
ESCA	162	11.0	173.0
GBM	168	5.0	173.0
HNSC	502	44.0	546.0
KICH	65	24.0	89.0
KIRC	535	72.0	607.0
KIRP	289	32.0	321.0
DLBC	48	0.0	48.0
LIHC	374	50.0	424.0
LGG	529	0.0	529.0
LUAD	526	59.0	585.0
LUSC	501	49.0	550.0
SKCM	471	1.0	472.0
MESO	86	0.0	86.0
UVM	80	0.0	80.0
OV	379	0.0	379.0
PAAD	178	4.0	182.0
PCPG	183	3.0	186.0
PRAD	499	52.0	551.0
READ	167	10.0	177.0
SARC	263	2.0	265.0
STAD	375	32.0	407.0
TGCT	156	0.0	156.0
THYM	119	2.0	121.0
THCA	510	58.0	568.0
UCS	56	0.0	56.0
