number,value,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_noise_factor,params_pathway_proportion,params_patience
0,0.5581541229167678,0 days 02:16:43.234800,64,0.4,0.00010169943656384206,0.2,0.2,7
1,0.9659363303274717,0 days 00:27:30.731065,64,0.5,0.005643915495690013,0.30000000000000004,0.0,5
2,0.9696580457901133,0 days 00:56:12.360296,512,0.1,0.006693380232150289,0.1,0.8,12
3,0.9695950194291444,0 days 00:40:32.346831,256,0.30000000000000004,0.006631398829665477,0.5,0.7000000000000001,8
4,0.9673838591232459,0 days 00:36:53.501133,512,0.4,0.0036561490775211427,0.4,0.0,8
5,0.5037458563868581,0 days 04:34:15.189918,64,0.2,0.0002609114107870129,0.4,0.4,7
6,0.7255049431581974,0 days 03:48:34.423791,16,0.30000000000000004,0.000342038769796341,0.4,0.7000000000000001,9
7,0.9659369600325658,0 days 01:18:46.929446,32,0.2,0.0014907907029558791,0.4,0.8,7
8,0.6527198612935542,0 days 01:06:01.520207,128,0.4,0.00035257195335509494,0.1,0.8,10
9,0.4457450005686696,0 days 07:18:09.926950,128,0.2,0.000284311666103151,0.2,0.5,13
10,0.7893568166010076,0 days 01:31:09.117414,128,0.0,0.0009644531265560159,0.2,1.0,15
11,0.450042571146198,0 days 07:33:46.045019,64,0.2,0.0002045477355067734,0.30000000000000004,0.4,12
12,0.35892068809680244,0 days 07:42:19.799170,128,0.1,0.00012453605646693607,0.2,0.4,13
13,0.3204373733358584,0 days 07:15:20.674658,128,0.0,0.00010153855123583069,0.2,0.5,14
14,0.31704120105596084,0 days 07:19:05.810376,128,0.0,0.00010454176411707036,0.2,0.2,15
